exp	param	value	acc	status	desc
0	baseline	-	0.4824	keep	baseline
1	use_contrastive	False	0.4824	discard	no improvement
2	dropout	0.3	0.4824	discard	no improvement
3	d_model	192	0.4824	discard	no improvement
4	d_model	192	0.4824	discard	no improvement
5	weight_decay	0.05	0.4824	discard	no improvement
6	weight_decay	0.05	0.4824	discard	no improvement
7	d_model	384	0.4824	discard	no improvement
8	batch_size	16	0.4824	discard	no improvement
9	dropout	0.3	0.4824	discard	no improvement
10	contrastive_temp	0.15	0.4824	discard	no improvement
11	batch_size	16	0.4824	discard	no improvement
